run,model_id,model,lang,problem,passed,cases_passed,cases_total,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,thinking_tokens,total_tokens,num_turns,duration_ms,cost_usd,solution_tokens_o200k,solution_tokens_cl100k,solution_bytes,error,wall_s
haiku-1,claude-haiku-4-5-20251001,haiku,apl,anagrams,False,0,5,321,38064,1715566,47764,28452,1801715,41,514766,0.4590025999999999,164,160,434,,525.1
haiku-1,claude-haiku-4-5-20251001,haiku,apl,brackets,False,0,5,321,20732,1189655,29021,12248,1239729,41,314408,0.2822335000000001,257,264,698,,327.7
haiku-1,claude-haiku-4-5-20251001,haiku,apl,calc,False,0,5,321,31844,1628050,38879,19951,1699094,41,336783,0.40139100000000005,703,698,2157,,359.9
haiku-1,claude-haiku-4-5-20251001,haiku,apl,dijkstra,False,0,5,321,18868,1257233,28458,9236,1304880,41,496684,0.2786073,35,35,93,,516.9
haiku-1,claude-haiku-4-5-20251001,haiku,apl,lcs,True,5,5,25,7669,52691,11094,6825,71479,3,73378,0.0670741,162,162,310,,82.6
haiku-1,claude-haiku-4-5-20251001,haiku,apl,primes,False,1,5,321,22039,1333869,30765,13155,1386994,41,310633,0.3066979,392,400,1047,,316.4
haiku-1,claude-haiku-4-5-20251001,haiku,apl,rle,True,5,5,305,28877,1490170,36033,20665,1555385,38,386510,0.36703900000000006,85,89,150,,396.8
haiku-1,claude-haiku-4-5-20251001,haiku,apl,roman,False,0,5,321,21057,1236076,27983,12680,1285437,41,407491,0.28643559999999996,215,215,551,,425.7
haiku-1,claude-haiku-4-5-20251001,haiku,apl,transpose,False,0,5,321,27043,1392953,37141,18366,1457458,41,479690,0.35035630000000006,173,171,459,,503.3
haiku-1,claude-haiku-4-5-20251001,haiku,apl,wordfreq,False,0,5,321,26133,1379971,35724,14623,1442149,41,400395,0.34166910000000006,405,401,1306,,470.7
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,anagrams,False,0,5,321,21278,1339869,28502,15439,1389970,41,265702,0.2989819,219,216,741,,271.8
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,brackets,False,0,5,321,22650,1329219,34083,13869,1386273,41,326559,0.3159069,218,191,468,,350.3
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,calc,False,0,5,321,36188,1673672,46715,15627,1756896,41,495594,0.4433431999999999,792,727,2070,,502.9
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,dijkstra,False,0,5,321,18095,1186612,27717,7395,1232745,41,251817,0.26621019999999995,349,341,883,,259.4
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,lcs,False,0,5,321,24128,1304467,33037,13192,1361953,41,269297,0.3187407000000001,323,273,745,,277.0
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,primes,False,1,5,321,19636,1258107,28577,13316,1306641,41,260635,0.28272270000000005,19,19,44,,267.7
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,rle,False,0,5,321,35461,1717655,45654,28409,1799091,41,539395,0.4419635,116,109,296,,554.6
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,roman,False,0,5,321,23035,1328165,34514,13053,1386035,41,355788,0.31859849999999995,264,241,602,,362.2
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,transpose,False,0,5,321,21703,1279658,30536,12862,1332218,41,298797,0.29913380000000006,233,213,692,,304.1
haiku-1,claude-haiku-4-5-20251001,haiku,bqn,wordfreq,False,0,5,321,23244,1328472,32752,10733,1384789,41,306613,0.3161472,698,643,2085,,314.1
haiku-1,claude-haiku-4-5-20251001,haiku,c,anagrams,True,5,5,25,7790,52947,11312,6313,72074,3,49394,0.0681597,736,734,2794,,57.3
haiku-1,claude-haiku-4-5-20251001,haiku,c,brackets,True,5,5,25,1912,47069,5463,1025,54469,3,28376,0.0264519,340,339,1289,,36.0
haiku-1,claude-haiku-4-5-20251001,haiku,c,calc,True,5,5,89,6077,218738,10209,4008,235113,11,76739,0.07404179999999999,565,557,2203,,84.1
haiku-1,claude-haiku-4-5-20251001,haiku,c,dijkstra,True,5,5,41,4575,88410,8471,2672,101497,10,57873,0.049999999999999996,740,740,2507,,65.2
haiku-1,claude-haiku-4-5-20251001,haiku,c,lcs,True,5,5,89,3520,197587,7639,1723,208835,11,55143,0.053961699999999994,474,472,1350,,62.4
haiku-1,claude-haiku-4-5-20251001,haiku,c,primes,True,5,5,97,2601,211082,6785,1012,220565,12,36875,0.04902920000000001,255,255,783,,43.7
haiku-1,claude-haiku-4-5-20251001,haiku,c,rle,True,5,5,41,2692,84819,6427,1885,93979,5,31172,0.0360969,200,199,747,,37.0
haiku-1,claude-haiku-4-5-20251001,haiku,c,roman,True,5,5,25,1459,46650,5002,666,53136,3,18355,0.023229000000000003,216,216,690,,24.3
haiku-1,claude-haiku-4-5-20251001,haiku,c,transpose,True,5,5,49,2278,101522,5906,1227,109755,6,28935,0.034635200000000005,246,245,760,,34.4
haiku-1,claude-haiku-4-5-20251001,haiku,c,wordfreq,True,5,5,65,4214,145313,8409,2006,158001,13,34758,0.05371630000000001,701,699,2931,,40.2
haiku-1,claude-haiku-4-5-20251001,haiku,forth,anagrams,False,0,5,321,28657,1530805,38825,14714,1598608,41,529814,0.37560649999999995,32,32,99,,544.7
