run,model,lang,problem,msgs,tool_calls,writes,edits,bash,code_tok,text_tok,cmd_tok,think_tok,gen_tok,final_tok,total_tok,code_share_gen,code_share_total,waste_tok
haiku-1,haiku,apl,anagrams,102,40,6,11,16,3301,466,311,0,4078,164,1801715,0.8095,0.00183,3137
haiku-1,haiku,apl,brackets,88,40,7,7,15,2624,227,1175,0,4026,257,1239729,0.6518,0.00212,2367
haiku-1,haiku,apl,calc,94,40,16,0,17,5185,254,1428,0,6867,703,1699094,0.7551,0.00305,4482
haiku-1,haiku,apl,dijkstra,95,45,8,1,29,3599,165,1356,0,5120,35,1304880,0.7029,0.00276,3564
haiku-1,haiku,apl,lcs,8,2,1,0,1,162,363,34,0,559,162,71479,0.2898,0.00227,0
haiku-1,haiku,apl,primes,99,45,3,13,21,1595,301,1242,0,3138,392,1386994,0.5083,0.00115,1203
haiku-1,haiku,apl,rle,88,37,2,7,25,714,591,2074,0,3379,85,1555385,0.2113,0.00046,629
haiku-1,haiku,apl,roman,87,40,16,1,21,3149,177,432,0,3758,215,1285437,0.8379,0.00245,2934
haiku-1,haiku,apl,transpose,101,40,4,16,18,1733,433,724,0,2890,173,1457458,0.5997,0.00119,1560
haiku-1,haiku,apl,wordfreq,103,45,7,10,18,3227,385,1281,0,4893,405,1442149,0.6595,0.00224,2822
haiku-1,haiku,bqn,anagrams,89,40,3,5,21,658,184,994,0,1836,219,1389970,0.3584,0.00047,439
haiku-1,haiku,bqn,brackets,100,40,10,4,19,2889,406,602,0,3897,218,1386273,0.7413,0.00208,2671
haiku-1,haiku,bqn,calc,86,40,12,10,14,9962,133,302,0,10397,792,1756896,0.9582,0.00567,9170
haiku-1,haiku,bqn,dijkstra,98,40,19,1,19,10870,342,880,0,12092,10,1543255,0.8989,0.00704,10860
haiku-1,haiku,bqn,lcs,94,40,13,0,16,4823,279,1071,0,6173,341,1264789,0.7813,0.00381,4482
haiku-1,haiku,bqn,primes,89,40,6,5,18,1235,175,748,0,2158,173,1254015,0.5723,0.00098,1062
haiku-1,haiku,bqn,rle,94,40,20,0,20,2031,378,86,0,2495,116,1799091,0.814,0.00113,1915
haiku-1,haiku,bqn,roman,90,46,8,5,22,2731,92,694,0,3517,342,1368601,0.7765,0.002,2389
haiku-1,haiku,bqn,transpose,88,40,15,0,17,2535,186,478,0,3199,12,1312298,0.7924,0.00193,2523
haiku-1,haiku,bqn,wordfreq,84,40,10,0,15,3981,51,890,0,4922,386,1133971,0.8088,0.00351,3595
haiku-1,haiku,c,anagrams,8,2,1,0,1,736,287,34,0,1057,736,72074,0.6963,0.01021,0
