model,lang,problem,ok,turns,calls,orient,probe,write,test,lookup,other,test_fail,probe_err,first_test,calls_before_first_test,writes_before_first_test
fable,apl,anagrams,True,7,6,1,0,2,3,0,0,2,0,fail,0,0
fable,apl,brackets,True,12,11,0,4,3,4,0,0,3,1,fail,0,0
fable,apl,calc,True,16,15,2,2,5,6,0,0,4,0,fail,0,0
fable,apl,dijkstra,True,6,5,0,1,1,2,0,1,1,0,fail,0,0
fable,apl,lcs,True,13,12,0,5,3,3,0,1,1,4,fail,0,0
fable,apl,primes,True,19,18,2,9,3,4,0,0,3,1,fail,3,2
fable,apl,rle,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
fable,apl,roman,True,9,8,0,1,4,3,0,0,2,0,fail,3,2
fable,apl,transpose,True,13,12,0,6,3,2,0,1,1,1,fail,3,2
fable,apl,wordfreq,True,12,11,0,3,4,4,0,0,3,0,fail,0,0
fable,bqn,anagrams,True,6,5,0,0,2,3,0,0,2,0,fail,0,0
fable,bqn,brackets,True,8,7,0,0,3,4,0,0,3,0,fail,0,0
fable,bqn,calc,True,8,7,0,0,4,3,0,0,2,0,fail,0,0
fable,bqn,dijkstra,True,7,6,0,2,1,3,0,0,2,0,fail,0,0
fable,bqn,lcs,True,7,6,0,3,1,2,0,0,1,1,fail,0,0
fable,bqn,primes,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
fable,bqn,rle,True,9,8,0,3,3,2,0,0,0,1,pass,3,2
fable,bqn,roman,True,9,8,0,1,4,3,0,0,2,0,fail,3,2
fable,bqn,transpose,True,8,7,0,1,3,3,0,0,2,0,fail,2,1
fable,bqn,wordfreq,True,8,7,0,0,3,4,0,0,3,0,fail,0,0
fable,c,anagrams,True,5,4,0,2,1,1,0,0,0,0,pass,3,1
fable,c,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,calc,True,4,3,1,0,1,1,0,0,0,0,pass,2,1
fable,c,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,c,wordfreq,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,forth,anagrams,True,13,12,0,4,4,4,0,0,3,0,fail,0,0
fable,forth,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,forth,calc,True,5,4,0,1,1,2,0,0,0,0,pass,1,1
fable,forth,dijkstra,True,5,4,1,0,1,2,0,0,1,0,fail,0,0
fable,forth,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,forth,primes,True,14,13,0,4,6,3,0,0,2,1,fail,3,3
fable,forth,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,forth,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,forth,transpose,True,11,10,0,3,4,3,0,0,2,2,fail,3,2
fable,forth,wordfreq,True,11,10,0,2,3,5,0,0,3,0,fail,0,0
fable,gleam,anagrams,True,5,4,1,1,1,1,0,0,0,0,pass,3,1
fable,gleam,brackets,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
fable,gleam,calc,True,5,4,0,1,1,2,0,0,1,0,fail,0,0
fable,gleam,dijkstra,True,4,3,0,0,1,2,0,0,1,0,fail,0,0
fable,gleam,lcs,True,6,5,1,1,1,2,0,0,1,0,fail,0,0
fable,gleam,primes,True,8,7,0,2,3,2,0,0,1,0,fail,2,1
fable,gleam,rle,True,6,5,0,1,3,1,0,0,0,0,pass,4,3
fable,gleam,roman,True,5,4,0,1,2,1,0,0,0,0,pass,3,2
fable,gleam,transpose,True,6,5,0,1,2,2,0,0,1,0,fail,2,1
fable,gleam,wordfreq,True,5,4,0,1,2,1,0,0,0,0,pass,3,2
fable,go,anagrams,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,brackets,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,calc,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,dijkstra,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,lcs,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,primes,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,rle,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,roman,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
fable,go,transpose,True,3,2,0,0,1,1,0,0,0,0,pass,1,1
